Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.732556447982788086e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.242000000000000171e+01,2.721000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.742562744617462158e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.238000000000000256e+01,2.714999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.752569029331207275e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.247999999999999687e+01,2.744000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.762554497718811035e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.253999999999999915e+01,2.753999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.772554311752319336e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.271000000000000085e+01,2.733999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.782567107677459717e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.274000000000000199e+01,2.757000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.792573275566101074e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.286999999999999744e+01,2.762999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.802579481601715088e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.303000000000000114e+01,2.776000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.812566254138946533e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.296000000000000085e+01,2.769999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.822572414875030518e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.313000000000000256e+01,2.789000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.832578570842742920e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.318999999999999773e+01,2.792000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.842584798336029053e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.342000000000000171e+01,2.785999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
